participant,session,code,time,baseline,baseline type,ROI,power
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_eo,"left central, occipital parietal",0.09325249104526531
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_eo,"right central, occipital parietal",0.04060715380725971
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_eo,left hemisphere,0.0942317226080734
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_eo,right hemisphere,0.04745827445652327
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_ec,"left central, occipital parietal",0.03086577449051641
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_ec,"right central, occipital parietal",0.025411526709148834
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_ec,left hemisphere,0.03311140060182065
0.0,1.0,m_00_01,2023-07-24 14:29:35,1,baseline_ec,right hemisphere,0.02848371813655271
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_eo,"left central, occipital parietal",0.046294542315253526
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_eo,"right central, occipital parietal",0.06657805962026392
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_eo,left hemisphere,0.04728802340056112
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_eo,right hemisphere,0.058114683056919546
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_ec,"left central, occipital parietal",0.03776689627101705
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_ec,"right central, occipital parietal",0.07269734357944148
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_ec,left hemisphere,0.030306894873063504
0.0,2.0,m_00_02,2023-07-24 13:51:33,1,baseline_ec,right hemisphere,0.0641136706332125
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_eo,"left central, occipital parietal",0.07325052121454687
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_eo,"right central, occipital parietal",0.07151249224680732
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_eo,left hemisphere,0.07196208068398811
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_eo,right hemisphere,0.06745864145668448
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_ec,"left central, occipital parietal",0.0258202245686043
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_ec,"right central, occipital parietal",0.025032846315209016
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_ec,left hemisphere,0.022054047754197448
1.0,2.0,m_01_02,2023-07-24 10:53:03,1,baseline_ec,right hemisphere,0.020835461003940983
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_eo,"left central, occipital parietal",0.02247210605198242
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_eo,"right central, occipital parietal",0.030462763826824456
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_eo,left hemisphere,0.02007564172754474
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_eo,right hemisphere,0.02868343656450861
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_ec,"left central, occipital parietal",0.036347421685451485
1.0,1.0,m_01_01,2023-07-24 14:17:22,1,baseline_ec,"right central, occipital parietal",0.029818639881224546
